city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,8
sj,2008,20,8
sj,2008,21,17
sj,2008,22,8
sj,2008,23,8
sj,2008,24,23
sj,2008,25,18
sj,2008,26,12
sj,2008,27,33
sj,2008,28,34
sj,2008,29,26
sj,2008,30,32
sj,2008,31,23
sj,2008,32,44
sj,2008,33,44
sj,2008,34,39
sj,2008,35,26
sj,2008,36,48
sj,2008,37,45
sj,2008,38,54
sj,2008,39,40
sj,2008,40,61
sj,2008,41,60
sj,2008,42,55
sj,2008,43,70
sj,2008,44,43
sj,2008,45,37
sj,2008,46,27
sj,2008,47,43
sj,2008,48,41
sj,2008,49,29
sj,2008,50,25
sj,2008,51,31
sj,2008,52,36
sj,2009,1,19
sj,2009,2,16
sj,2009,3,12
sj,2009,4,6
sj,2009,5,7
sj,2009,6,13
sj,2009,7,7
sj,2009,8,11
sj,2009,9,7
sj,2009,10,12
sj,2009,11,14
sj,2009,12,16
sj,2009,13,11
sj,2009,14,10
sj,2009,15,8
sj,2009,16,8
sj,2009,17,12
sj,2009,18,11
sj,2009,19,8
sj,2009,20,8
sj,2009,21,7
sj,2009,22,9
sj,2009,23,17
sj,2009,24,18
sj,2009,25,17
sj,2009,26,15
sj,2009,27,18
sj,2009,28,15
sj,2009,29,28
sj,2009,30,27
sj,2009,31,30
sj,2009,32,33
sj,2009,33,45
sj,2009,34,84
sj,2009,35,58
sj,2009,36,74
sj,2009,37,66
sj,2009,38,71
sj,2009,39,68
sj,2009,40,50
sj,2009,41,54
sj,2009,42,73
sj,2009,43,74
sj,2009,44,50
sj,2009,45,70
sj,2009,46,47
sj,2009,47,75
sj,2009,48,80
sj,2009,49,87
sj,2009,50,63
sj,2009,51,67
sj,2009,52,46
sj,2010,53,28
sj,2010,1,24
sj,2010,2,20
sj,2010,3,12
sj,2010,4,16
sj,2010,5,15
sj,2010,6,17
sj,2010,7,9
sj,2010,8,16
sj,2010,9,8
sj,2010,10,8
sj,2010,11,11
sj,2010,12,6
sj,2010,13,13
sj,2010,14,17
sj,2010,15,20
sj,2010,16,27
sj,2010,17,10
sj,2010,18,13
sj,2010,19,32
sj,2010,20,22
sj,2010,21,16
sj,2010,22,10
sj,2010,23,14
sj,2010,24,28
sj,2010,25,38
sj,2010,26,16
sj,2010,27,27
sj,2010,28,31
sj,2010,29,34
sj,2010,30,43
sj,2010,31,38
sj,2010,32,22
sj,2010,33,21
sj,2010,34,47
sj,2010,35,57
sj,2010,36,29
sj,2010,37,19
sj,2010,38,50
sj,2010,39,64
sj,2010,40,38
sj,2010,41,56
sj,2010,42,48
sj,2010,43,62
sj,2010,44,40
sj,2010,45,41
sj,2010,46,32
sj,2010,47,41
sj,2010,48,43
sj,2010,49,48
sj,2010,50,35
sj,2010,51,41
sj,2011,52,34
sj,2011,1,11
sj,2011,2,9
sj,2011,3,7
sj,2011,4,4
sj,2011,5,12
sj,2011,6,7
sj,2011,7,8
sj,2011,8,4
sj,2011,9,8
sj,2011,10,9
sj,2011,11,9
sj,2011,12,7
sj,2011,13,10
sj,2011,14,11
sj,2011,15,9
sj,2011,16,6
sj,2011,17,9
sj,2011,18,6
sj,2011,19,8
sj,2011,20,10
sj,2011,21,18
sj,2011,22,10
sj,2011,23,10
sj,2011,24,13
sj,2011,25,11
sj,2011,26,11
sj,2011,27,18
sj,2011,28,10
sj,2011,29,22
sj,2011,30,13
sj,2011,31,27
sj,2011,32,29
sj,2011,33,34
sj,2011,34,24
sj,2011,35,32
sj,2011,36,22
sj,2011,37,40
sj,2011,38,30
sj,2011,39,35
sj,2011,40,42
sj,2011,41,35
sj,2011,42,25
sj,2011,43,46
sj,2011,44,47
sj,2011,45,16
sj,2011,46,32
sj,2011,47,43
sj,2011,48,31
sj,2011,49,33
sj,2011,50,22
sj,2011,51,36
sj,2012,52,26
sj,2012,1,16
sj,2012,2,18
sj,2012,3,13
sj,2012,4,10
sj,2012,5,11
sj,2012,6,8
sj,2012,7,10
sj,2012,8,13
sj,2012,9,9
sj,2012,10,8
sj,2012,11,7
sj,2012,12,7
sj,2012,13,6
sj,2012,14,10
sj,2012,15,7
sj,2012,16,13
sj,2012,17,14
sj,2012,18,10
sj,2012,19,12
sj,2012,20,11
sj,2012,21,14
sj,2012,22,21
sj,2012,23,17
sj,2012,24,16
sj,2012,25,35
sj,2012,26,17
sj,2012,27,31
sj,2012,28,27
sj,2012,29,26
sj,2012,30,57
sj,2012,31,75
sj,2012,32,89
sj,2012,33,106
sj,2012,34,74
sj,2012,35,41
sj,2012,36,60
sj,2012,37,51
sj,2012,38,58
sj,2012,39,44
sj,2012,40,44
sj,2012,41,63
sj,2012,42,30
sj,2012,43,49
sj,2012,44,79
sj,2012,45,87
sj,2012,46,86
sj,2012,47,53
sj,2012,48,51
sj,2012,49,49
sj,2012,50,54
sj,2012,51,89
sj,2013,1,37
sj,2013,2,39
sj,2013,3,29
sj,2013,4,26
sj,2013,5,20
sj,2013,6,20
sj,2013,7,13
sj,2013,8,24
sj,2013,9,12
sj,2013,10,10
sj,2013,11,9
sj,2013,12,17
sj,2013,13,8
sj,2013,14,8
